CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
1410759E, iMAX,2 MB,SEJ,AGUSTIN MELGAR,VESPERTINO,PREESCOLAR,CENTRO,TONALA,TONALA,ATOTONILCO EL ALTO 191,45400,-103.2628889,20.68575,SIN SERVICIO
1402084D,ADSL,2 MB,SEJ,JOSE ROSAS MORENO,VESPERTINO,PREESCOLAR,ALTOS ORTE,TEOCALTICHE,TEOCALTICHE,MATAMOROS 40,47200,-102.5775444,21.4351833,SUSPENDIDO
1411351H, iMAX,2 MB,SEJ,VASCO DE QUIROGA,MATUTINO,PREESCOLAR,CENTRO,ZAPOPAN,LAS AGUJAS,HILO AMARILLO 29,45200,-103.4847806,20.7957111,SIN SERVICIO
UDG_289,ADSL,10 MB,UDG,ESC. PREPA. REG. DE TEPATITLAN,N/D,ESC. PREPA. REG. DE TEPATITLAN,ALTOS SUR,TEPATITLAN DE MORELOS,N/D,AV. GONZ-LEZ GALLO # 205  TEPATITL-N JAL.,N/D,-102.761111,20.816667,SUSPENDIDO
1409148K, iMAX,2 MB,SEJ,JOSE MA MORELOS Y PAVON,VESPERTINO,PRIMARIA,CENTRO,VILLA CORONA,ATOTONILCO EL BAJO,ITURBIDE 43,45745,-103.673125,20.34955,SIN SERVICIO
1403718H,ADSL,10 MB,SEJ,PAULINO AVARRO,MATUTINO,PRIMARIA,CIENEGA,JOCOTEPEC,JOCOTEPEC,ARANA 112,45800,-103.4288778,20.2853306,SUSPENDIDO
CCR_230, iMAX,2 MB,SDH,"FUNDACION EMMANUEL GUADALAJARA, A.C.",N/D,N/D,CENTRO,EL SALTO,EL SALTO,SANTA MARTHA  ¡  500,N/D,-103.1818472,20.5159389,SIN SERVICIO
1404399H,ADSL,2 MB,SEJ,RICARDO FLORES MAGîN,MATUTINO,SECUNDARIA,SURESTE,TAMAZULA DE GORDIANO,VILLA DE CONTLA (CONTLA),ALDAMA #12,49660,-103.1815333,19.7536583,SUSPENDIDO
1403911D,ADSL,2 MB,SEJ,ADOLFO LOPEZ MATEOS,VESPERTINO,PRIMARIA,CIENEGA,PONCITLAN,SAN JUAN TECOMATLAN,CUAUHTEMOC 698,45975,-103.0995889,20.3294667,SUSPENDIDO
1402256H, iMAX,2 MB,SEJ,MARIANO ABASOLO,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,LAS ALFALFAS,CONOCIDO,47400,-101.91095,21.329425,ACTIVO
1410429G, iMAX,2 MB,SEJ,JUAN JOSE ARREOLA,VESPERTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,BAHIA DE TODOS LOS SANTOS ENTRE 0 Y 0 ,45609,-103.4219444,20.5994444,SIN SERVICIO
1403086G, iMAX,2 MB,SEJ,12 DE OCTUBRE,MATUTINO,PRIMARIA,ALTOS SUR,JALOSTOTITLAN,CERRO BLANCO DE LAS CASILLAS,CONOCIDO,47120,-102.5281861,21.088325,SIN SERVICIO
1400097F, iMAX,2 MB,SEJ,INSTITUTO TECNOLOGICO SUPERIOR DE ZAPOPAN,N/D,SUPERIOR,CENTRO,ZAPOPAN,ZAPOPAN,CAMINO ARENERO 1101,45019,-103.4726639,20.7015417,SIN SERVICIO
1406345E,ADSL,10 MB,SEJ,NIÑOS HEROES,MATUTINO,PRIMARIA,COSTA ORTE,PUERTO VALLARTA,IXTAPA,AVENIDA DE LOS MAESTROS 4,48280,-105.2053222,20.7219806,SUSPENDIDO
207UDGV,ADSL,10 MB,UDG VIRTUAL,N/D,N/D,N/D,SURESTE,MAZAMITLA,N/D,PROLONGACIîN MORELOS #1 COL. EL CHARCO ,N/D,-103.0195083,19.9228583,SUSPENDIDO
1403817E,ADSL,2 MB,SEJ,JOSE CLEMENTE OROZCO FLORES,MATUTINO,PRIMARIA,CIENEGA,OCOTLAN,OCOTLAN,OCAMPO 752,47860,-102.767675,20.3516556,SUSPENDIDO
SSJ_048,ADSL,2 MB,SSJ,CENTRO DE SALUD RURAL DE ATOYAC,N/D,N/D,SUR,ATOYAC,ATOYAC,ARCADIO ZUÑIGA Y TEJEDA # 154,49200,-103.5152778,20.0097222,SUSPENDIDO
1402938H, iMAX,2 MB,SEJ,JUAN ESCUTIA,VESPERTINO,PRIMARIA,ALTOS SUR,YAHUALICA DE GONZALEZ GALLO,MANALISCO,JUSTO SIERRA 3,47330,-102.920975,21.0605472,SIN SERVICIO
1402017B,ADSL,10 MB,SEJ,PEDRO MORENO,MATUTINO,PRIMARIA,ALTOS ORTE,SAN JUAN DE LOS LAGOS,SAN JUAN DE LOS LAGOS,5 DE MAYO 23,47050,-102.3286694,21.2474278,SUSPENDIDO
PP_067_01, iMAX,2 MB,GOB,N/D,N/D,N/D,ALTOS SUR,YAHUALICA DE GONZALEZ GALLO,N/D,N/D,N/D,105 14 06.90  ,20 36 31.50 ,SIN SERVICIO
1407653H,ADSL,10 MB,SEJ,PROFR. Y LIC. RICARDO BALDERAS ALVAREZ,MATUTINO,SECUNDARIA,CENTRO,GUADALAJARA,GUADALAJARA,AV. DE LA PRESA S/N,44770,-103.2705028,20.6711528,SUSPENDIDO
PS_023, iMAX,2 MB,GOB,UNIRSE OCOTLAN COORDINACION DE PROCURADURIA SOCIAL,N/D,N/D,CIENEGA,OCOTLAN,OCOTLAN,PLAZA SAN FELIPE. AV. UNIVERSIDAD #950 LOCAL 57 PLANTA ALTA COL. SAN FELIPE C.P 47850,47850,-102.770583,20.3671,ACTIVO
SSJ_113,ADSL,10 MB,SSJ,OFICINAS ADMINISTRATIVAS,N/D,N/D,SUR,ZAPOTLAN EL GRANDE,CIUDAD GUZMAN,CALLE VICTORIA # 61 CIUDAD GUZMAN,49000,-103.467619,19.703509,SUSPENDIDO
1407373X,ADSL,10 MB,SEJ,FRANCISCO CUEVAS DOMINGUEZ,MATUTINO,PRIMARIA,VALLES,TEQUILA,TEQUILA,LOPEZ MATEOS 81,46400,-103.8310639,20.8826722,SUSPENDIDO
1410616F, iMAX,2 MB,SEJ,AGUSTIN YAÑEZ,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,PRIVADA LAS GOLONDRINAS ENTRE FRANCISCO VILLA Y PRIVADA LAGOS ,45619,-103.3369444,20.5844444,SIN SERVICIO
JCSSA005374,ADSL,2 MB,SSJ,TAMAZULITA,N/D,N/D,SIERRA DE AMULA,TECOLOTLAN,TAMAZULITA,VICENTE GUERRERO O.1 C,48563,-103.9725,20.2052778,SUSPENDIDO
UDG_207,ADSL,2 MB,UDG,ESC. PREPA. MODULO TIZAPAN,N/D,ESC. PREPA. MODULO TIZAPAN,CIENEGA,TIZAPAN EL ALTO,N/D,EMILIANO ZAPATA S/N,N/D,-103.043333,20.158333,SUSPENDIDO
JCSSA000416, iMAX,2 MB,SSJ,HUAXTLA,N/D,N/D,VALLES,EL ARENAL,HUAXTLA,MEDINA ASCENCIO O.5,45368,-103.665,20.7297222,SIN SERVICIO
SSJ_528,ADSL,10 MB,SSJ,LOMAS DEL CAMICHIN,N/D,N/D,CENTRO,TONALA,TONALA,GLACIARES # 19,45417,-103.2411111,20.6236111,SUSPENDIDO
SC_053, iMAX,2 MB,SC,ELIAS ANDINO VALLARTA ,08:00 A 20:00,ESTATAL,VALLES,COCULA,COCULA,INDEPENDENCIA #. 61,48500,-103.824422,20.364685,SIN SERVICIO
1408212X, iMAX,2 MB,SEJ,PRISCILIANO SANCHEZ PADILLA,VESPERTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,ISLA BRETON 3341 ENTRE ISLA ANTIGUA Y ISLA RAZA ,44950,-103.5719444,20.7680556,ACTIVO
1404776G, iMAX,2 MB,SEJ,ESC. SEC. TEC. O. 100,MATUTINO,SECUNDARIA,SUR,ZAPOTLAN EL GRANDE,CIUDAD GUZMAN,DOM. CONOCIDO COL. MORELOS,49000,-103.4629306,19.7033833,SIN SERVICIO
1409734J,ADSL,10 MB,SEJ,CONCHITA BECERRA DE CELIS,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,ZAPOPAN,PASEO LOMAS ALTAS 665,45120,-103.4185778,20.6852111,SUSPENDIDO
1405601K,ADSL,2 MB,SEJ,NIÑOS HEROES,VESPERTINO,PRIMARIA,SIERRA DE AMULA,UNIîN DE TULA,UNION DE TULA,JUAREZ ORIENTE 350,48000,-104.2682278,19.9550361,SUSPENDIDO
1409748F, iMAX,2 MB,SEJ,LAZARO CARDENAS DEL RIO,MATUTINO,SECUNDARIA,CENTRO,ZAPOPAN,ZAPOPAN,PINO SUAREZ # 105 COL. SANTA ANA,45230,-103.4523056,20.6237222,ACTIVO
1407427E, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PRIMARIA,VALLES,AMECA,LAS PAREDES,CONOCIDO,46709,-103.8993306,20.5505667,ACTIVO
JCSSA004242,ADSL,10 MB,SSJ,MODULO PUERTO VALLARTA,N/D,N/D,COSTA ORTE,PUERTO VALLARTA,PUERTO VALLARTA,JUAREZ # 957,48300,-105.2311111,20.6133333,SUSPENDIDO
1402808A,ADSL,10 MB,SEJ,JOSE VASCONCELOS,MATUTINO,PRIMARIA,ALTOS SUR,TEPATITLAN DE MORELOS,TEPATITLAN DE MORELOS,JOSE CORNEJO FRANCO 390,47600,-102.7666333,20.8299083,SUSPENDIDO
1410491K, iMAX,2 MB,SEJ,JOSE ROSAS MORENO,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,FRANCISCO I MADERO 101,45630,-103.2647222,20.6180556,ACTIVO
1403728J,ADSL,10 MB,SEJ,FRANCISCO I MADERO,MATUTINO,PRIMARIA,CIENEGA,JOCOTEPEC,JOCOTEPEC,INDEPENDENCIA ORTE 235,45800,-103.429875,20.2841889,SUSPENDIDO
1413114K,ADSL,10 MB,SEJ,N/D,N/D,N/D,CENTRO,TLAJOMULCO DE ZUÑIGA,N/D,AVENIDA CIRCUITO TERRANOVA,N/D,-103.4152775,20.4969729,SUSPENDIDO
